본부,사업소,충전소명,충전기,충전기ID,주소,충전기구분,충전용량,충전량,충전시간,충전분,충전종료일자,충전시작시각,충전종료시각
서울,마포용산,용산역 아이파크몰,완속05,735,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",완속,7,10.76,1,41,2022.1.1,2022.1.1 20:41,2022.1.1 22:23
서울,마포용산,용산역 아이파크몰,완속05,735,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",완속,7,5.63,0,49,2022.1.1,2022.1.1 19:40,2022.1.1 20:30
서울,마포용산,용산역 아이파크몰,완속07,737,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",완속,7,8.45,1,19,2022.1.1,2022.1.1 18:35,2022.1.1 19:55
서울,마포용산,용산역 아이파크몰,급속06,725,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,2.3,0,14,2022.1.1,2022.1.1 19:23,2022.1.1 19:37
서울,마포용산,용산역 아이파크몰,급속09,728,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,44.94,0,53,2022.1.1,2022.1.1 21:09,2022.1.1 22:03
서울,마포용산,용산역 아이파크몰,급속05,724,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,10.05,0,12,2022.1.1,2022.1.1 21:11,2022.1.1 21:24
서울,마포용산,용산역 아이파크몰,급속10,720,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,4.53,0,6,2022.1.1,2022.1.1 21:01,2022.1.1 21:08
서울,마포용산,용산역 아이파크몰,완속01,729,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",완속,7,23.89,4,33,2022.1.1,2022.1.1 17:28,2022.1.1 22:02
서울,마포용산,용산역 아이파크몰,급속01,719,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,50.98,1,7,2022.1.1,2022.1.1 19:44,2022.1.1 20:51
서울,마포용산,용산역 아이파크몰,급속09,728,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,22.09,1,20,2022.1.1,2022.1.1 19:31,2022.1.1 20:51
서울,마포용산,용산역 아이파크몰,급속04,723,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,54.09,1,11,2022.1.1,2022.1.1 18:32,2022.1.1 19:43
서울,마포용산,용산역 아이파크몰,급속02,721,"서울특별시 용산구 한강대로23길 55 (한강로3가, 용산역)",급속,50,12.99,0,23,2022.1.1,2022.1.1 22:47,2022.1.1 23:10
